INFO 2024-09-17 10:10:27,905 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-17 10:10:27,915 autoreload Waiting for apps ready_event.
DEBUG 2024-09-17 10:10:28,349 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-17 10:10:28,383 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/students/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,383 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/embed_video/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,383 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,384 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,384 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redisboard/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,384 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/courses/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,385 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/templates with glob **/*.
DEBUG 2024-09-17 10:10:28,386 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,386 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/courses/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,386 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/students/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,386 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/embed_video/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,387 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,387 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redisboard/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,387 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,388 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2024-09-17 10:10:28,578 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-17 10:10:28,594 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-17 10:10:29,004 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redisboard/utils.py first seen with mtime 1726484094.4041336
DEBUG 2024-09-17 10:10:29,005 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/permissions.py first seen with mtime 1726502255.724553
DEBUG 2024-09-17 10:10:29,005 autoreload File /usr/lib/python3.10/contextvars.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 10:10:29,005 autoreload File /usr/lib/python3.10/_compression.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 10:10:29,005 autoreload File /usr/lib/python3.10/xml/parsers/__init__.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 10:10:29,006 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redis/_parsers/socket.py first seen with mtime 1726483701.1850748
DEBUG 2024-09-17 10:10:29,006 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1724748348.4159954
