INFO 2024-09-17 09:36:39,031 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-17 09:36:39,034 autoreload Waiting for apps ready_event.
DEBUG 2024-09-17 09:36:39,451 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-17 09:36:39,501 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redisboard/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,502 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,507 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/courses/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,508 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/embed_video/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,509 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/students/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,511 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,513 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/templates with glob **/*.
DEBUG 2024-09-17 09:36:39,521 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,534 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/courses/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,535 autoreload Watching dir /home/abhishek/Documents/cms/Cms/educa/students/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,547 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/embed_video/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,559 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,571 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redisboard/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,572 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,587 autoreload Watching dir /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2024-09-17 09:36:39,754 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-17 09:36:39,762 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-17 09:36:40,155 autoreload File /usr/lib/python3.10/asyncio/log.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,156 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1724748360.3430164
DEBUG 2024-09-17 09:36:40,156 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/toolbar.py first seen with mtime 1726481776.4764113
DEBUG 2024-09-17 09:36:40,157 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/urllib3/util/request.py first seen with mtime 1725439717.177525
DEBUG 2024-09-17 09:36:40,157 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/core/cache/backends/base.py first seen with mtime 1724748360.196016
DEBUG 2024-09-17 09:36:40,157 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/serializers.py first seen with mtime 1726502255.7355533
DEBUG 2024-09-17 09:36:40,158 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1724748350.536999
DEBUG 2024-09-17 09:36:40,158 autoreload File /usr/lib/python3.10/http/client.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,159 autoreload File /usr/lib/python3.10/email/mime/base.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,159 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/template/exceptions.py first seen with mtime 1724748360.7430172
DEBUG 2024-09-17 09:36:40,159 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/panels/settings.py first seen with mtime 1726481776.5544124
DEBUG 2024-09-17 09:36:40,160 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/embed_video/__init__.py first seen with mtime 1725439718.8875515
DEBUG 2024-09-17 09:36:40,160 autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,160 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/utils/log.py first seen with mtime 1724748360.9230175
DEBUG 2024-09-17 09:36:40,161 autoreload File /usr/lib/python3.10/graphlib.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,161 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/sqlparse/cli.py first seen with mtime 1724748346.1969914
DEBUG 2024-09-17 09:36:40,162 autoreload File /usr/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,162 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/debug_toolbar/panels/signals.py first seen with mtime 1726481776.5554125
DEBUG 2024-09-17 09:36:40,162 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/rest_framework/renderers.py first seen with mtime 1726502255.7265532
DEBUG 2024-09-17 09:36:40,163 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/attr/converters.py first seen with mtime 1726484094.1841302
DEBUG 2024-09-17 09:36:40,163 autoreload File /usr/lib/python3.10/email/contentmanager.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,163 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/pytz/__init__.py first seen with mtime 1726563651.2952728
DEBUG 2024-09-17 09:36:40,164 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1724748346.2029915
DEBUG 2024-09-17 09:36:40,164 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/redis/sentinel.py first seen with mtime 1726483701.1720746
DEBUG 2024-09-17 09:36:40,165 autoreload File /usr/lib/python3.10/random.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,165 autoreload File /usr/lib/python3.10/http/cookiejar.py first seen with mtime 1722272208.0
DEBUG 2024-09-17 09:36:40,166 autoreload File /home/abhishek/Documents/cms/Cms/py-env/lib/python3.10/site-packages/django/middleware/csrf.py first seen with mtime 1724748360.7100172
